"id";"montante";"tipo";"data_hora_transacao";"origem_fk";"destino_fk"
96;177.87;"TED";"2021-10-05 15:40:46";676;276
97;245.40;"DOC";"2021-02-24 10:13:24";874;77
98;306.48;"PIX";"2021-04-08 03:00:44";236;448
99;511.36;"TED";"2022-01-09 12:55:35";140;461
100;746.50;"DOC";"2021-03-22 17:13:51";186;225
101;213.94;"PIX";"2021-10-22 05:01:49";724;756
102;707.85;"PIX";"2021-05-11 12:25:39";199;633
103;323.38;"DOC";"2022-05-09 03:56:47";346;447
104;497.22;"DOC";"2021-02-20 09:04:21";404;610
105;106.01;"DOC";"2021-10-22 00:02:59";431;217
106;138.50;"PIX";"2021-12-16 06:53:00";364;832
107;452.32;"TED";"2021-01-24 05:12:51";198;623
108;678.46;"TED";"2021-09-09 10:20:02";18;787
109;298.24;"PIX";"2021-02-26 00:57:59";690;246
110;737.58;"PIX";"2021-03-12 05:33:43";289;313
111;562.46;"DOC";"2021-11-10 05:28:50";662;663
112;27.76;"DOC";"2022-05-08 20:53:37";740;433
113;421.97;"DOC";"2021-09-11 11:26:06";511;550
114;297.65;"PIX";"2021-07-03 07:05:52";524;299
115;33.14;"TED";"2021-08-31 06:25:26";699;161
116;56.15;"TED";"2022-03-31 03:47:44";51;520
117;362.84;"PIX";"2021-08-09 10:40:56";459;74
118;131.05;"PIX";"2022-04-11 20:27:01";646;16
119;372.71;"PIX";"2021-02-03 21:20:35";838;138
120;725.54;"TED";"2021-08-23 00:57:32";580;899
121;358.41;"PIX";"2021-11-27 01:13:32";862;164
122;625.18;"PIX";"2021-07-04 03:39:59";805;282
123;593.66;"PIX";"2021-12-28 12:26:13";244;63
124;856.33;"DOC";"2021-07-13 11:10:41";770;115
125;420.75;"TED";"2021-10-13 21:35:14";851;211
126;456.55;"DOC";"2021-03-19 02:38:11";39;162
127;671.91;"TED";"2022-03-17 01:14:31";49;695
128;264.84;"DOC";"2021-04-27 02:42:13";852;151
129;875.46;"TED";"2021-09-22 19:56:01";6;368
130;58.54;"PIX";"2021-12-16 12:41:52";515;12
131;643.89;"DOC";"2021-12-03 14:04:46";869;747
132;698.59;"TED";"2022-05-06 03:37:36";900;720
133;142.39;"TED";"2022-01-01 07:22:25";810;774
134;322.69;"PIX";"2022-05-18 09:47:27";175;130
135;261.45;"DOC";"2021-01-29 21:36:29";711;692
136;564.36;"PIX";"2022-03-29 20:02:13";828;717
137;803.56;"TED";"2022-05-07 01:56:53";744;379
138;718.17;"TED";"2022-05-05 21:22:31";709;240
139;19.50;"DOC";"2021-06-25 14:07:09";493;405
140;814.25;"PIX";"2021-04-13 08:13:55";594;163
141;448.70;"PIX";"2021-04-22 01:58:49";331;224
142;662.15;"PIX";"2022-01-01 17:18:19";812;433
143;440.56;"PIX";"2021-06-24 07:53:02";606;779
144;160.65;"PIX";"2021-09-16 10:11:59";309;58
145;107.43;"PIX";"2021-03-19 05:15:00";882;237
146;333.99;"PIX";"2021-05-20 03:25:51";46;660
147;670.01;"DOC";"2022-01-17 08:47:21";695;267
148;266.56;"PIX";"2021-10-11 16:26:42";732;363
149;909.67;"PIX";"2021-09-14 20:01:04";733;864
150;150.17;"DOC";"2022-04-28 22:25:24";801;5
151;377.58;"PIX";"2022-05-19 13:02:58";523;336
152;266.59;"DOC";"2021-11-09 11:11:52";36;883
153;868.77;"DOC";"2021-04-14 15:17:44";616;859
154;225.96;"PIX";"2021-03-25 05:58:51";193;52
155;307.91;"DOC";"2022-03-10 05:12:48";486;293
156;124.54;"PIX";"2021-08-31 20:22:32";260;877
157;711.78;"PIX";"2021-07-13 19:14:50";127;601
158;732.94;"TED";"2022-04-05 13:23:47";661;703
159;549.71;"PIX";"2022-05-16 23:56:43";430;252
160;208.20;"PIX";"2021-01-17 16:46:21";694;625
161;753.44;"TED";"2022-05-27 22:24:06";393;143
162;344.18;"TED";"2021-02-01 08:12:12";498;717
163;215.41;"PIX";"2021-10-07 14:51:18";768;560
164;888.22;"DOC";"2021-04-29 23:03:36";671;338
165;946.67;"PIX";"2021-08-01 21:08:15";488;703
166;370.38;"TED";"2021-10-07 03:55:41";407;513
167;405.67;"PIX";"2022-04-09 12:51:24";639;391
168;490.80;"TED";"2022-03-04 17:44:05";290;603
169;782.11;"DOC";"2021-01-21 13:22:48";335;161
170;756.74;"PIX";"2021-03-02 07:06:00";542;657
171;727.04;"DOC";"2021-04-17 16:43:10";183;313
172;882.99;"PIX";"2022-04-09 21:56:32";514;220
173;259.59;"TED";"2021-07-14 12:10:12";677;178
174;651.51;"PIX";"2021-05-12 05:13:18";638;282
175;803.79;"PIX";"2021-04-29 17:47:30";423;475
176;772.34;"TED";"2021-06-20 09:39:23";55;730
177;699.61;"PIX";"2021-02-02 22:46:53";773;734
178;227.99;"DOC";"2021-07-21 14:08:25";487;233
179;585.41;"PIX";"2022-04-06 17:45:14";520;387
180;632.26;"DOC";"2021-02-05 04:44:22";717;420
181;630.14;"DOC";"2021-04-17 12:41:02";129;388
182;157.25;"DOC";"2021-06-07 17:59:19";366;518
183;101.90;"PIX";"2021-04-16 13:05:52";670;311
184;440.83;"PIX";"2021-10-28 22:57:15";310;246
185;350.64;"PIX";"2022-04-12 05:40:28";586;725
186;439.27;"DOC";"2022-04-29 20:13:15";488;833
187;789.10;"PIX";"2021-07-26 00:31:36";832;694
188;253.42;"DOC";"2021-02-03 03:35:12";619;3
189;509.63;"DOC";"2021-12-19 05:15:07";711;41
190;197.76;"DOC";"2021-05-03 03:25:54";652;776
191;838.67;"TED";"2021-12-24 00:33:07";732;846
192;677.58;"DOC";"2021-03-29 10:08:14";214;741
193;755.77;"TED";"2021-06-13 00:05:00";20;365
194;65.57;"TED";"2021-01-01 21:06:31";336;711
195;796.54;"PIX";"2022-04-14 08:57:36";775;144
196;386.05;"TED";"2021-07-12 16:44:43";70;317
197;358.93;"TED";"2022-03-19 12:03:08";779;381
198;338.51;"PIX";"2021-06-13 02:32:39";496;531
199;905.26;"TED";"2021-09-25 16:34:26";849;522
200;280.97;"PIX";"2021-09-09 06:59:59";192;336
201;874.19;"PIX";"2022-05-25 20:57:26";159;270
202;660.98;"TED";"2021-05-20 04:22:09";109;848
203;142.21;"DOC";"2022-03-14 09:23:00";27;414
204;573.10;"TED";"2021-08-18 12:38:07";845;871
205;188.38;"TED";"2021-08-19 23:29:06";402;458
206;480.32;"DOC";"2021-07-07 21:55:25";65;224
207;18.70;"DOC";"2021-04-20 03:07:05";445;9
208;119.23;"TED";"2022-03-26 13:04:15";620;579
209;693.21;"DOC";"2021-11-12 07:34:29";321;688
210;314.42;"DOC";"2021-05-15 23:05:32";279;192
211;138.14;"TED";"2021-10-31 04:59:22";104;723
212;796.29;"TED";"2022-01-07 14:47:00";186;304
213;529.75;"TED";"2021-06-24 09:19:16";835;580
214;9.72;"PIX";"2022-03-10 18:14:39";603;619
215;915.38;"PIX";"2021-08-05 23:56:42";556;73
216;697.72;"TED";"2021-09-25 14:25:28";686;242
217;122.90;"TED";"2021-10-08 01:51:21";496;318
218;50.41;"TED";"2021-07-09 23:08:48";68;765
219;523.69;"TED";"2021-01-17 11:47:28";651;414
220;417.02;"DOC";"2021-08-13 13:29:29";615;842
221;825.49;"TED";"2022-05-29 07:48:39";850;642
222;215.58;"TED";"2021-12-18 12:41:36";24;635
223;60.17;"PIX";"2022-03-30 22:02:58";448;571
224;627.27;"TED";"2021-08-14 21:34:34";254;77
225;937.97;"DOC";"2021-09-21 18:18:24";316;126
226;630.39;"DOC";"2022-04-19 17:14:32";418;137
227;520.72;"TED";"2022-04-11 05:43:49";553;422
228;135.16;"TED";"2021-09-07 21:23:30";879;336
229;555.95;"PIX";"2021-01-11 04:56:48";368;181
230;519.33;"PIX";"2021-02-06 23:44:00";882;411
231;603.14;"PIX";"2021-10-17 12:04:38";452;173
232;41.28;"TED";"2022-02-17 10:39:53";66;269
233;477.47;"TED";"2021-03-25 19:30:35";194;416
234;276.14;"DOC";"2021-02-19 02:24:54";226;627
235;402.49;"TED";"2021-07-06 09:37:16";21;662
236;194.95;"PIX";"2021-11-26 20:49:02";227;470
237;378.13;"DOC";"2021-10-21 01:49:34";312;129
238;823.93;"PIX";"2021-06-13 08:04:10";315;660
239;53.17;"DOC";"2021-05-29 18:09:15";665;99
240;58.45;"PIX";"2021-12-05 08:10:10";602;697
241;583.38;"TED";"2021-01-10 03:09:15";840;335
242;524.80;"PIX";"2022-01-15 02:20:28";835;689
243;399.49;"PIX";"2022-04-19 15:05:53";581;105
244;827.27;"TED";"2022-02-07 17:59:10";54;715
245;760.22;"PIX";"2021-09-13 09:19:17";264;261
246;436.54;"DOC";"2021-07-08 20:00:15";53;18
247;469.47;"PIX";"2021-03-06 13:35:42";575;160
248;656.11;"TED";"2021-04-29 05:17:56";724;707
249;547.97;"PIX";"2021-10-06 17:55:40";653;264
250;11.24;"DOC";"2021-04-12 23:44:04";158;18
251;167.28;"TED";"2022-03-06 05:56:30";549;879
252;90.07;"TED";"2021-04-03 17:21:05";218;733
253;727.70;"DOC";"2021-02-13 07:24:38";567;274
254;863.97;"PIX";"2022-02-10 22:18:51";496;666
255;828.72;"DOC";"2021-03-08 06:47:39";1;536
256;140.32;"PIX";"2021-06-21 16:15:32";668;255
257;844.66;"TED";"2022-01-13 22:41:00";350;184
258;486.77;"DOC";"2022-04-17 04:53:27";260;495
259;533.26;"TED";"2021-02-21 21:45:08";260;195
260;467.11;"PIX";"2021-04-09 13:27:39";796;679
261;664.52;"TED";"2021-10-19 19:36:58";642;415
262;947.20;"DOC";"2021-03-11 05:16:24";301;374
263;249.66;"PIX";"2022-04-13 01:37:26";579;322
264;74.41;"TED";"2021-12-05 12:13:00";274;707
265;846.46;"PIX";"2021-06-17 14:32:35";277;603
266;29.20;"DOC";"2021-09-03 20:39:29";232;383
267;698.27;"TED";"2021-05-27 14:17:20";835;572
268;465.32;"DOC";"2021-11-14 16:23:14";51;854
269;733.60;"PIX";"2021-09-21 19:17:35";839;608
270;132.39;"TED";"2021-06-12 12:50:03";855;731
271;928.04;"DOC";"2021-02-09 15:52:36";238;248
272;841.11;"PIX";"2021-09-09 14:20:27";630;724
273;673.51;"PIX";"2021-10-20 17:59:53";246;422
274;206.92;"PIX";"2021-05-01 11:32:40";71;632
275;289.21;"TED";"2021-02-17 19:00:25";657;662
276;363.80;"DOC";"2022-02-27 04:21:16";132;803
277;355.44;"TED";"2021-11-14 00:36:43";71;787
278;729.67;"PIX";"2021-11-26 23:26:44";303;203
279;209.87;"TED";"2022-05-25 18:55:19";480;709
280;571.96;"TED";"2021-06-23 21:17:52";52;376
281;391.54;"DOC";"2021-09-12 03:50:36";800;810
282;673.90;"TED";"2021-06-14 09:17:54";672;838
283;42.80;"TED";"2021-11-14 16:33:07";6;118
284;25.98;"PIX";"2021-06-09 19:39:20";691;456
285;0.47;"PIX";"2021-07-14 11:23:30";537;299
286;186.90;"TED";"2021-12-01 07:36:42";803;41
287;664.32;"TED";"2022-03-18 22:01:11";743;427
288;696.13;"TED";"2021-07-09 15:35:17";281;777
289;421.03;"PIX";"2021-01-22 03:26:25";296;386
290;107.01;"TED";"2021-04-11 05:37:00";191;493
291;278.76;"TED";"2022-03-24 07:08:13";275;392
292;253.86;"PIX";"2021-02-14 02:38:05";870;893
293;182.96;"DOC";"2021-02-17 06:21:04";636;667
294;468.54;"PIX";"2021-10-11 16:03:27";24;631
295;57.59;"TED";"2021-09-14 22:27:29";727;512
296;368.50;"DOC";"2022-02-10 19:25:27";829;504
297;622.38;"DOC";"2021-10-20 17:36:45";663;61
298;177.27;"DOC";"2021-03-25 00:36:56";238;888
299;348.82;"TED";"2021-03-01 19:58:26";709;558
300;631.44;"PIX";"2021-01-30 08:08:51";74;629
301;265.56;"TED";"2022-03-23 21:17:46";241;684
302;72.75;"TED";"2022-04-25 17:04:22";554;62
303;176.54;"PIX";"2021-08-08 08:57:20";31;462
304;383.56;"DOC";"2021-10-22 14:06:07";537;178
305;711.91;"DOC";"2022-02-11 00:57:35";697;365
306;196.07;"PIX";"2021-12-08 18:28:08";622;748
307;822.28;"PIX";"2022-04-15 03:13:31";107;763
308;789.38;"PIX";"2022-05-13 20:58:22";388;11
309;469.99;"DOC";"2022-01-27 23:33:08";724;43
310;593.63;"TED";"2021-05-28 23:27:55";668;870
311;212.18;"DOC";"2022-04-22 01:59:02";704;890
312;113.78;"DOC";"2021-05-27 20:39:21";253;465
313;380.39;"DOC";"2022-05-02 12:31:09";29;363
314;11.64;"PIX";"2021-02-26 20:04:17";407;115
315;344.88;"DOC";"2022-05-26 23:14:16";721;337
316;121.27;"DOC";"2021-07-19 09:46:10";739;202
317;223.67;"PIX";"2021-02-23 19:11:47";587;711
318;3.87;"DOC";"2022-01-16 10:34:53";865;709
319;30.22;"DOC";"2022-02-19 14:08:45";372;794
320;26.20;"PIX";"2021-04-19 11:50:25";696;798
321;566.47;"PIX";"2022-03-31 19:06:58";664;860
322;752.78;"PIX";"2021-07-28 00:27:59";9;374
323;921.98;"PIX";"2021-01-27 13:52:37";13;337
324;668.52;"TED";"2021-08-10 16:23:02";705;109
325;878.62;"TED";"2021-09-26 03:22:39";212;829
326;9.42;"DOC";"2021-03-22 17:53:04";136;599
327;8.40;"TED";"2022-05-01 07:54:57";326;354
328;334.56;"TED";"2022-03-18 03:43:43";284;16
329;503.96;"PIX";"2021-07-18 17:46:55";169;879
330;158.23;"PIX";"2021-08-25 01:39:56";269;619
331;463.83;"TED";"2021-10-27 04:21:39";14;441
332;275.21;"PIX";"2021-03-19 11:57:38";326;712
333;207.37;"DOC";"2021-01-22 00:22:54";806;458
334;164.37;"PIX";"2021-01-03 23:09:57";684;620
335;549.44;"PIX";"2021-05-12 21:35:11";553;100
336;70.45;"DOC";"2022-03-11 04:41:16";229;860
337;511.03;"DOC";"2021-11-24 23:09:25";706;375
338;105.65;"TED";"2022-05-19 22:43:01";734;818
339;458.04;"TED";"2021-12-04 13:55:43";527;8
340;759.84;"DOC";"2021-10-24 22:36:46";780;425
341;518.82;"DOC";"2021-02-17 01:58:59";98;226
342;296.60;"DOC";"2021-03-24 19:22:35";427;21
343;601.25;"DOC";"2021-12-30 07:08:28";588;804
344;641.42;"DOC";"2022-03-05 22:47:45";382;84
345;25.52;"TED";"2022-03-09 04:32:43";604;729
346;748.88;"DOC";"2022-05-16 06:58:24";50;873
347;306.58;"TED";"2021-06-29 07:28:50";555;545
348;243.26;"PIX";"2022-05-01 22:37:44";366;283
349;933.59;"TED";"2022-05-01 06:50:28";741;172
350;104.26;"TED";"2022-01-25 16:59:37";834;424
351;101.81;"DOC";"2022-02-01 02:26:38";749;685
352;85.55;"TED";"2022-01-16 13:20:17";719;463
353;258.80;"PIX";"2021-07-07 00:04:28";729;371
354;797.38;"TED";"2022-05-31 11:45:11";358;753
355;403.73;"DOC";"2021-09-14 16:45:16";644;519
356;118.72;"TED";"2022-01-23 08:18:07";158;843
357;359.13;"DOC";"2021-09-14 08:13:59";580;5
358;109.86;"TED";"2021-08-01 09:59:45";339;605
359;410.30;"DOC";"2021-05-01 05:56:12";466;786
360;451.04;"TED";"2021-07-29 10:25:31";36;362
361;640.31;"PIX";"2021-11-16 04:58:13";569;863
362;550.13;"TED";"2022-03-04 12:32:35";383;379
363;707.40;"TED";"2021-03-12 20:28:49";286;673
364;641.52;"DOC";"2021-10-25 17:02:26";325;744
365;465.95;"PIX";"2022-02-12 11:03:38";11;95
366;285.45;"PIX";"2021-03-11 11:07:15";176;338
367;678.42;"DOC";"2021-12-15 10:40:32";214;470
368;778.41;"PIX";"2021-04-05 11:17:01";835;317
369;364.14;"DOC";"2022-01-07 06:11:28";142;305
370;272.05;"PIX";"2021-09-25 10:20:44";36;717
371;272.46;"PIX";"2021-01-28 19:12:37";154;13
372;7.96;"PIX";"2021-09-20 13:59:23";764;176
373;593.29;"DOC";"2021-03-26 23:23:38";535;548
374;593.29;"TED";"2021-10-29 07:40:57";720;473
375;731.53;"TED";"2022-01-13 23:19:12";20;372
376;650.81;"PIX";"2022-04-11 05:32:30";208;330
377;172.95;"TED";"2021-04-18 04:36:35";325;704
378;696.37;"DOC";"2021-04-09 22:41:02";487;362
379;409.31;"DOC";"2021-05-19 11:28:53";793;477
380;777.36;"DOC";"2021-08-30 07:39:49";465;613
381;360.70;"TED";"2021-06-01 18:24:12";98;445
382;530.26;"PIX";"2021-10-17 20:42:11";595;180
383;864.98;"TED";"2021-07-13 05:37:12";473;479
384;790.03;"TED";"2021-10-14 15:36:32";594;337
385;883.37;"DOC";"2021-08-27 10:41:18";677;99
386;429.95;"DOC";"2021-09-12 13:56:55";473;878
387;862.67;"TED";"2021-09-21 01:24:13";470;769
388;781.34;"PIX";"2021-08-15 00:48:59";277;388
389;656.12;"PIX";"2022-01-30 23:12:09";167;135
390;532.07;"TED";"2022-01-01 04:59:22";548;202
391;836.19;"DOC";"2021-02-11 17:16:39";747;628
392;334.98;"PIX";"2022-05-27 17:56:23";569;63
393;284.50;"PIX";"2022-01-25 08:35:36";534;389
394;693.48;"DOC";"2022-02-14 16:42:47";811;549
395;512.42;"PIX";"2021-06-18 20:08:37";28;447
396;435.80;"PIX";"2021-02-22 09:46:01";564;624
397;833.93;"PIX";"2021-12-08 03:32:05";891;250
398;197.74;"PIX";"2021-01-02 04:50:16";619;105
399;910.56;"PIX";"2021-06-18 16:08:57";442;160
400;755.25;"TED";"2021-09-16 07:44:30";633;796
401;586.11;"PIX";"2021-09-17 06:46:07";847;643
402;287.49;"DOC";"2021-11-11 23:25:47";237;253
403;155.74;"DOC";"2022-04-14 16:14:31";192;284
404;642.29;"TED";"2021-10-28 11:05:38";866;452
405;562.08;"DOC";"2021-12-10 21:27:15";173;137
406;912.50;"PIX";"2021-03-13 09:41:18";167;282
407;446.02;"TED";"2021-09-11 23:39:11";322;594
408;597.59;"TED";"2021-06-08 12:34:23";759;325
409;772.18;"PIX";"2021-05-06 04:31:58";430;176
410;82.26;"PIX";"2021-03-11 17:53:03";174;108
411;531.24;"DOC";"2022-01-19 08:14:24";736;385
412;652.79;"PIX";"2021-04-11 19:43:24";595;548
413;848.47;"PIX";"2021-08-16 12:38:45";493;710
414;814.26;"DOC";"2021-04-18 15:43:56";842;435
415;818.07;"TED";"2022-02-17 21:43:11";514;289
416;186.15;"PIX";"2021-01-25 07:01:02";695;331
417;694.74;"TED";"2021-01-16 19:15:28";775;899
418;489.91;"DOC";"2021-07-16 16:22:13";211;467
419;235.06;"PIX";"2022-03-06 22:20:14";882;514
420;435.16;"DOC";"2022-01-12 02:14:47";7;778
421;794.64;"PIX";"2021-01-02 20:28:29";665;116
422;147.75;"PIX";"2021-03-29 11:58:56";538;147
423;877.91;"DOC";"2022-04-26 04:39:13";517;511
424;529.71;"DOC";"2021-10-12 23:17:09";126;836
425;778.01;"PIX";"2021-07-21 19:39:45";813;882
426;65.45;"DOC";"2021-03-02 08:03:01";153;587
427;725.07;"DOC";"2022-05-01 17:29:36";714;855
428;51.82;"TED";"2022-01-23 15:39:47";872;431
429;696.49;"DOC";"2022-04-12 23:31:44";284;793
430;284.16;"PIX";"2022-01-26 05:50:41";106;500
431;255.71;"TED";"2021-05-25 09:42:50";847;271
432;573.22;"PIX";"2021-04-15 02:16:47";612;617
433;880.01;"DOC";"2022-04-29 12:01:09";324;88
434;778.56;"TED";"2021-02-23 03:31:32";375;217
435;483.63;"TED";"2022-05-18 17:03:41";618;261
436;333.93;"PIX";"2021-12-28 04:38:09";824;72
437;55.79;"DOC";"2022-04-12 07:50:26";128;344
438;26.05;"TED";"2021-01-21 21:19:34";75;407
439;313.64;"DOC";"2021-04-21 17:10:42";844;208
440;317.65;"DOC";"2021-08-14 17:55:53";839;345
441;949.61;"TED";"2022-01-08 14:21:45";417;854
442;668.99;"DOC";"2021-09-08 08:45:00";236;640
443;839.27;"PIX";"2021-11-09 13:22:50";123;792
444;852.65;"TED";"2021-02-16 15:31:22";54;154
445;786.93;"PIX";"2021-12-17 06:49:31";818;691
446;250.98;"PIX";"2021-02-24 21:54:35";746;850
447;280.86;"DOC";"2021-06-04 18:57:39";492;54
448;237.37;"TED";"2021-09-29 19:03:19";64;685
449;565.85;"TED";"2022-03-21 01:55:10";438;280
450;461.15;"PIX";"2021-10-21 06:42:26";399;341
451;865.51;"TED";"2022-01-30 23:22:02";318;388
452;937.35;"DOC";"2021-11-05 05:48:49";644;743
453;621.49;"PIX";"2021-04-25 04:53:11";362;344
454;368.36;"PIX";"2022-03-31 18:25:05";52;603
455;261.54;"PIX";"2021-10-24 15:22:14";318;805
456;810.22;"DOC";"2021-04-29 13:49:17";595;735
457;348.66;"DOC";"2021-01-14 01:37:10";287;610
458;73.90;"PIX";"2022-05-26 12:12:57";6;39
459;586.72;"DOC";"2021-11-22 20:07:40";574;482
460;141.90;"TED";"2021-01-24 04:06:09";234;124
461;275.43;"TED";"2021-10-13 16:31:04";387;653
462;309.21;"DOC";"2021-09-28 12:33:58";354;84
463;693.98;"DOC";"2022-03-06 19:42:15";320;668
464;85.80;"PIX";"2021-03-10 15:46:22";487;568
465;590.13;"PIX";"2021-07-18 15:23:35";658;509
466;10.49;"DOC";"2022-01-01 01:33:07";73;194
467;313.06;"DOC";"2022-02-20 13:07:19";141;689
468;294.81;"DOC";"2021-10-27 09:58:59";415;284
469;111.65;"TED";"2021-12-06 11:17:50";356;240
470;921.29;"TED";"2021-04-05 09:11:17";806;542
471;307.88;"PIX";"2021-08-24 01:12:32";851;873
472;697.30;"PIX";"2021-06-25 00:17:21";819;90
473;561.31;"PIX";"2022-02-10 08:27:31";364;8
474;762.73;"PIX";"2021-05-06 11:18:14";310;315
475;515.35;"PIX";"2021-11-02 08:40:49";787;591
476;206.08;"TED";"2021-05-22 08:10:55";420;378
477;656.97;"TED";"2021-11-23 05:58:54";165;11
478;203.76;"DOC";"2021-06-10 11:12:56";375;853
479;729.70;"TED";"2022-05-27 01:37:41";696;576
480;153.15;"PIX";"2021-03-15 12:06:35";580;689
481;584.23;"DOC";"2021-08-19 07:06:10";129;1
482;477.33;"DOC";"2021-09-08 15:40:31";874;383
483;343.92;"PIX";"2022-01-05 13:33:37";720;190
484;553.99;"DOC";"2021-12-07 15:42:01";631;655
485;296.37;"PIX";"2022-04-15 13:31:57";820;500
